Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Cureate Spicy Chili Chicken Bowl,6d620f02582697b83c280be892135ddc,574.50,574.50,0.0031,50.0000,50,0.0024,,0,0.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guest Services BYO Paneer Bowl,d2de8bbb76a8397561fe930e2ae89d4f,235.80,235.80,0.0013,15.0000,15,0.0007,,0,0.0000,0.0000,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paneer Tikka Bowl,1680a4357e2ab3fb482a56d60603525a,1523.58,7617.91,0.0417,119.4000,597,0.0292,22.07,495,0.3091,0.1818,2025-01-27,2025-02-23,1290.89,6454.45,0.0357,106.8000,534.0000,0.0244,22.18,462.0000,0.3506,0.2121,232.69,0.1803,1163.46,0.1803,0.0061,0.1695,12.6000,0.1180,63.0000,0.1180,0.0048,0.1986,-0.10,-0.0047,33.0000,0.0714,-0.0416,-0.1185,-0.0303,-0.1429
Grain Bowl,8f1eb7b733a778fa96d20356d25b7acb,7198.68,35993.39,0.1972,566.2000,2831,0.1385,18.61,2071,0.3332,0.2472,2025-01-27,2025-02-23,10748.33,53741.67,0.2972,887.0000,4435.0000,0.2024,18.06,3112.0000,0.3393,0.2686,-3549.66,-0.3303,-17748.28,-0.3303,-0.1000,-0.3363,-320.8000,-0.3617,-1604.0000,-0.3617,-0.0639,-0.3157,0.55,0.0302,-1041.0000,-0.3345,-0.0062,-0.0182,-0.0214,-0.0797
Spicy Chili Chicken Bowl,f69c4f89d02ed8113b95711324f0c441,2362.30,11811.51,0.0647,182.6000,913,0.0447,20.92,757,0.2761,0.1546,2025-01-27,2025-02-23,2201.50,11007.50,0.0609,185.2000,926.0000,0.0423,19.67,750.0000,0.3040,0.1667,160.80,0.0730,804.01,0.0730,0.0039,0.0633,-2.6000,-0.0140,-13.0000,-0.0140,0.0024,0.0570,1.24,0.0632,7.0000,0.0093,-0.0279,-0.0918,-0.0121,-0.0727
Mini Samosas,adb32f1bdc98ccdf3a40e53c1eb1948f,461.54,2307.71,0.0126,189.6000,948,0.0464,21.16,754,0.2679,0.1459,2025-01-27,2025-02-23,568.04,2840.18,0.0157,226.6000,1133.0000,0.0517,20.22,897.0000,0.2720,0.1304,-106.49,-0.1875,-532.47,-0.1875,-0.0031,-0.1949,-37.0000,-0.1633,-185.0000,-0.1633,-0.0053,-0.1030,0.94,0.0464,-143.0000,-0.1594,-0.0041,-0.0151,0.0155,0.1185
Vanilla Mango Lassi Soft Serve,7d7ff21d8d65e0aec403985229bec204,61.00,305.00,0.0017,16.0000,80,0.0039,,53,0.3208,0.1321,2025-01-27,2025-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bag,f6b5ab5a96e017f867590689d1e594a0,0.29,0.87,0.0000,29.3333,88,0.0043,,87,0.2989,0.0575,2025-01-27,2025-02-23,-0.03,-0.10,-0.0000,1.6667,5.0000,0.0002,,4.0000,0.2500,0.0000,0.32,-9.7000,0.97,,0.0000,-9.6208,27.6667,16.6000,83.0000,,0.0041,17.8904,,,83.0000,,0.0489,0.1954,0.0575,0.0000
Wild Kombucha - Mango Peach,c5637f01dae60eb3ac82016ed498641e,61.00,305.00,0.0017,17.6000,88,0.0043,,55,0.2727,0.0545,2025-01-27,2025-02-23,84.78,423.90,0.0023,17.4000,87.0000,0.0040,,82.0000,0.2683,0.0610,-23.78,-0.2805,-118.90,-0.2805,-0.0007,-0.2870,0.2000,0.0115,1.0000,,0.0003,0.0846,,,-27.0000,,0.0044,0.0165,-0.0064,-0.1055
Side of Veggie,2bf13144a231acbd18bd6f39bace242a,28.56,142.80,0.0008,6.4000,32,0.0016,,27,0.2593,0.0370,2025-01-27,2025-02-23,34.13,136.53,0.0008,6.7500,27.0000,0.0012,,22.0000,0.3636,0.1364,-5.57,-0.1633,6.27,0.0459,0.0000,0.0364,-0.3500,-0.0519,5.0000,,0.0003,0.2711,,,5.0000,,-0.1044,-0.2870,-0.0993,-0.7284
