Item,Item id,Item revenue per location,Item revenue,Item revenue percentage,Item volume per location,Item volume,Item volume percentage,Item aov,Item guests,N day item return rate,N day item reorder rate,Business date previous start,Business date previous end,Item revenue per location previous,Item revenue previous,Item revenue percentage previous,Item volume per location previous,Item volume previous,Item volume percentage previous,Item aov previous,Item guests previous,N day item return rate previous,N day item reorder rate previous,Item revenue per location absolute difference,Item revenue per location relative difference,Item revenue absolute difference,Item revenue relative difference,Item revenue percentage absolute difference,Item revenue percentage relative difference,Item volume per location absolute difference,Item volume per location relative difference,Item volume absolute difference,Item volume relative difference,Item volume percentage absolute difference,Item volume percentage relative difference,Item aov absolute difference,Item aov relative difference,Item guests absolute difference,Item guests relative difference,N day item return rate absolute difference,N day item return rate relative difference,N day item reorder rate absolute difference,N day item reorder rate relative difference
Tandoori Paneer Bowl - Club Feast,ccabcb8808fc31aa7f0186fc4c6917c9,151.35,151.35,0.0010,15.0000,15,0.0010,,0,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan Basket Small - Club Feast,5f2a7ae050f81a47aa12d63c3320066c,37.60,37.60,0.0002,2.0000,2,0.0001,,0,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka + Avocado Salad - Club Feast,edb325b90f437326978702d7f49f6d14,135.00,135.00,0.0009,12.0000,12,0.0008,,0,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samosa Chaat,ed1b49254bb3de73aa66c7b747f245fd,371.09,1855.45,0.0119,69.2000,346,0.0233,35.31,66,,,2025-03-31,2025-04-27,245.59,1227.95,0.0087,46.4000,232.0000,0.0166,38.06,67.0000,0.3582,0.1940,125.50,0.5110,627.50,0.5110,0.0032,0.3688,22.8000,0.4914,114.0000,0.4914,0.0067,0.4051,-2.74,-0.0721,-1.0000,,,,,
Spicy Chili Chicken Bowl,f69c4f89d02ed8113b95711324f0c441,2894.57,14472.87,0.0929,198.6000,993,0.0668,37.34,159,,,2025-03-31,2025-04-27,3556.88,17784.39,0.1261,262.4000,1312.0000,0.0937,37.28,196.0000,0.4082,0.2449,-662.30,-0.1862,-3311.52,-0.1862,-0.0331,-0.2628,-63.8000,-0.2431,-319.0000,-0.2431,-0.0269,-0.2869,0.07,0.0018,-37.0000,-0.1888,,,,
Side of Grain,343ce46c5489f43ec64a165e5323783f,30.00,150.00,0.0010,11.4000,57,0.0038,,16,,,2025-03-31,2025-04-27,13.91,69.57,0.0005,5.0000,25.0000,0.0018,,9.0000,0.6667,0.2222,16.09,1.1561,80.43,,0.0005,0.9531,6.4000,1.2800,32.0000,,0.0021,1.1478,,,7.0000,,,,,
Tandoori Paneer Burrito,4c8c37c969bd13578ef2d13e11781bd9,451.27,2256.37,0.0145,32.4000,162,0.0109,37.08,36,,,2025-03-31,2025-04-27,407.67,2038.34,0.0145,30.6000,153.0000,0.0109,39.32,54.0000,0.3333,0.1481,43.61,0.1070,218.03,0.1070,0.0000,0.0028,1.8000,0.0588,9.0000,0.0588,-0.0000,-0.0025,-2.24,-0.0569,-18.0000,,,,,
Saag Paneer,b2e5e331828a4748468e0853ec4d1f52,833.97,4169.83,0.0268,60.6000,303,0.0204,49.13,30,,,2025-03-31,2025-04-27,101.38,506.91,0.0036,9.0000,45.0000,0.0032,,15.0000,0.3333,0.2000,732.58,7.2260,3662.92,7.2260,0.0232,6.4517,51.6000,5.7333,258.0000,,0.0172,5.3428,,,15.0000,,,,,
Homemade Juice,d6f19fa56665e191989db7a893806ea1,79.30,396.50,0.0025,28.6000,143,0.0096,40.41,42,,,2025-03-31,2025-04-27,103.20,515.98,0.0037,37.8000,189.0000,0.0135,36.89,76.0000,0.5263,0.2895,-23.90,-0.2316,-119.48,-0.2316,-0.0011,-0.3039,-9.2000,-0.2434,-46.0000,-0.2434,-0.0039,-0.2872,3.52,0.0955,-34.0000,,,,,
Spindrift - Lemon,9c741ccf6f8529297f729b75ce83a4f6,31.71,126.85,0.0008,10.7500,43,0.0029,,4,,,2025-03-31,2025-04-27,20.67,103.33,0.0007,7.4000,37.0000,0.0026,,5.0000,0.2000,0.2000,11.05,0.5345,23.52,0.2276,0.0001,0.1121,3.3500,0.4527,6.0000,,0.0003,0.0950,,,-1.0000,,,,,
Open Water Sparkling Water,bd334657d0647a944bf877236ce1ddf7,8.25,33.00,0.0002,3.0000,12,0.0008,,1,,,2025-03-31,2025-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Kombucha - Ginger,2800f7ea017d47701691d95876ecd531,28.00,140.00,0.0009,5.6000,28,0.0019,,1,,,2025-03-31,2025-04-27,18.75,75.00,0.0005,3.7500,15.0000,0.0011,,3.0000,0.6667,0.6667,9.25,0.4933,65.00,,0.0004,0.6910,1.8500,0.4933,13.0000,,0.0008,0.7575,,,-2.0000,,,,,
